housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
18.0,3278.0,762.0,1338.0,550.0,2.9891,116500.0
44.0,2440.0,485.0,1011.0,442.0,4.149,443600.0
44.0,2087.0,447.0,1270.0,423.0,2.3889,86100.0
23.0,2850.0,864.0,2249.0,777.0,2.6957,191700.0
34.0,1943.0,500.0,1078.0,446.0,1.1296,93800.0
24.0,3592.0,533.0,1683.0,528.0,6.7247,333800.0
10.0,4446.0,897.0,2499.0,884.0,3.5461,103600.0
30.0,2346.0,567.0,1988.0,474.0,2.5625,153000.0
44.0,1463.0,312.0,940.0,312.0,2.3333,99800.0
36.0,2988.0,719.0,1357.0,657.0,3.5174,268000.0
40.0,930.0,258.0,1203.0,244.0,2.5938,115400.0
12.0,3473.0,466.0,1569.0,450.0,8.8636,314000.0
4.0,4719.0,741.0,1895.0,742.0,6.8132,282500.0
36.0,1833.0,688.0,1128.0,620.0,1.1483,112500.0
21.0,983.0,165.0,672.0,169.0,2.975,63900.0
52.0,1386.0,276.0,729.0,274.0,3.6694,275500.0
9.0,3160.0,468.0,1675.0,470.0,7.5443,348400.0
31.0,1428.0,320.0,677.0,331.0,7.2316,500001.0
50.0,1527.0,338.0,728.0,322.0,2.625,203200.0
36.0,2637.0,476.0,1385.0,483.0,4.1739,158700.0
24.0,1590.0,390.0,1686.0,372.0,1.6469,47600.0
35.0,2604.0,495.0,1465.0,470.0,4.4896,184600.0
14.0,1889.0,471.0,853.0,399.0,2.25,112500.0
15.0,3310.0,488.0,1104.0,460.0,6.1009,314400.0
34.0,2773.0,679.0,1066.0,424.0,1.6757,63300.0
18.0,1619.0,346.0,904.0,295.0,2.1625,77200.0
31.0,1466.0,264.0,608.0,254.0,3.1827,162100.0
19.0,7357.0,963.0,3018.0,981.0,6.9473,361400.0
25.0,287.0,57.0,118.0,50.0,2.3056,162500.0
32.0,2015.0,318.0,1019.0,340.0,6.1104,240700.0
12.0,2014.0,372.0,1027.0,356.0,3.9261,101300.0
24.0,4841.0,894.0,2656.0,920.0,6.0573,254500.0
34.0,2470.0,1197.0,2326.0,1055.0,1.9038,325000.0
24.0,3523.0,991.0,1775.0,873.0,2.1273,142300.0
16.0,1566.0,306.0,652.0,287.0,1.9038,60800.0
16.0,343.0,85.0,29.0,14.0,2.1042,87500.0
29.0,1846.0,530.0,2576.0,528.0,2.63,156000.0
6.0,9882.0,1892.0,4892.0,1621.0,3.7636,167600.0
16.0,3363.0,611.0,1603.0,556.0,4.2542,294100.0
43.0,1748.0,366.0,984.0,371.0,4.5116,337800.0
4.0,6034.0,1170.0,3527.0,1098.0,4.1775,143700.0
16.0,1945.0,320.0,512.0,300.0,7.4542,500001.0
34.0,591.0,139.0,327.0,89.0,3.6528,100000.0
45.0,1169.0,263.0,723.0,286.0,3.9444,212900.0
36.0,702.0,210.0,834.0,216.0,2.25,162500.0
43.0,1269.0,297.0,946.0,285.0,2.1447,133300.0
33.0,2349.0,407.0,954.0,373.0,6.4956,483600.0
44.0,1406.0,357.0,1489.0,386.0,1.4688,56800.0
29.0,1312.0,267.0,922.0,255.0,3.1902,202400.0
35.0,2436.0,466.0,1730.0,469.0,2.2071,85900.0
18.0,1297.0,337.0,610.0,312.0,1.9441,184400.0
16.0,3084.0,724.0,2557.0,690.0,2.8357,106300.0
41.0,1104.0,196.0,495.0,196.0,5.0929,225000.0
22.0,1764.0,357.0,1379.0,363.0,3.5357,199000.0
39.0,1612.0,342.0,912.0,322.0,3.3958,141900.0
35.0,2061.0,371.0,1110.0,342.0,3.1944,79000.0
10.0,3216.0,526.0,1539.0,483.0,6.3639,143000.0
38.0,2012.0,347.0,880.0,332.0,3.1734,181600.0
52.0,2635.0,408.0,967.0,374.0,7.0422,500001.0
13.0,763.0,161.0,311.0,125.0,2.4583,112500.0
17.0,2967.0,611.0,1387.0,564.0,2.0417,92600.0
41.0,389.0,102.0,455.0,107.0,2.7031,109200.0
52.0,1249.0,307.0,1223.0,297.0,2.07,136300.0
16.0,3295.0,565.0,2279.0,576.0,3.6083,146400.0
17.0,4013.0,673.0,2263.0,661.0,5.131,148300.0
26.0,3635.0,567.0,1779.0,543.0,5.7089,237400.0
48.0,1778.0,541.0,1237.0,462.0,1.3438,103100.0
38.0,1051.0,249.0,799.0,229.0,2.712,143800.0
8.0,3096.0,684.0,1454.0,545.0,2.7857,79700.0
13.0,1914.0,339.0,930.0,304.0,4.1875,161200.0
42.0,1162.0,264.0,1044.0,241.0,3.5488,205600.0
41.0,1471.0,469.0,1062.0,413.0,1.6121,171400.0
18.0,2791.0,492.0,1187.0,438.0,3.2589,103000.0
52.0,2867.0,496.0,978.0,513.0,3.1477,291200.0
52.0,2315.0,556.0,1113.0,486.0,2.5042,147900.0
16.0,3103.0,482.0,1567.0,467.0,6.907,500001.0
52.0,851.0,190.0,731.0,190.0,1.9044,64900.0
26.0,2972.0,603.0,1972.0,532.0,2.0388,80400.0
15.0,8162.0,2124.0,8793.0,2086.0,3.3306,210300.0
42.0,1816.0,338.0,897.0,306.0,5.1874,230800.0
28.0,5274.0,991.0,3727.0,961.0,3.57,109800.0
52.0,2063.0,320.0,774.0,309.0,7.2543,500001.0
